ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,FR-O,FR-W,BUFFER,OUTPUT,SIZE,PDI
36OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,76,0.247
37OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,79,0.251
38OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,156,0.297
39OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,1.375,3,0.344,1.031,MQ,YES,75,0.214
40OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,2.17,1.7,0.796,1.374,MQ,YES,91,0.2
41OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,2.17,1.7,0.796,1.374,MQ,YES,96,0.2
42OD,HSPC,Micromixer,15.96,0,9.58,3.19,3.19,2.17,1.7,0.796,1.374,MQ,YES,83,0.203
01OM,ESM,Micromixer,34.9,24.78,0,10.12,0,0.58,1.6,0.223,0.357,MQ,YES,230,0.349
02OM,ESM,Micromixer,34.9,24.78,0,10.12,0,2.17,1.6,0.835,1.335,MQ,YES,298,0.263
03OM,ESM,Micromixer,34.9,24.78,0,10.12,0,0.58,4.4,0.107,0.473,MQ,YES,158,0.088
04OM,ESM,Micromixer,34.9,24.78,0,10.12,0,2.17,4.4,0.402,1.768,MQ,YES,125,0.065
05OM,ESM,Micromixer,34.9,24.78,0,10.12,0,0.25,3,0.063,0.188,MQ,YES,184,0.16
06OM,ESM,Micromixer,34.9,24.78,0,10.12,0,2.5,3,0.625,1.875,MQ,YES,155,0.054
07OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,1,0.688,0.688,MQ,YES,232,0.322
08OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,5,0.229,1.146,MQ,YES,126,0.058
09OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,170,0.119
10OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,164,0.091
11OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,162,0.121
12OM,ESM,Micromixer,34.9,24.78,0,10.12,0,1.375,3,0.344,1.031,MQ,YES,160,0.095
