ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,BUFFER,OUTPUT
08OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,4.4,MQ,1
09OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
10OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
11OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
12OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
13OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
14OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.58,1.6,MQ,1
15OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,1.6,MQ,1
16OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.58,4.4,MQ,1
17OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,4.4,MQ,1
18OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.25,3.0,MQ,1
19OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.5,3.0,MQ,1
20OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,1.0,MQ,1
21OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,4.4,MQ,1
22OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
23OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
24OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
25OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
26OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
27OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.58,1.6,MQ,1
28OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,1.6,MQ,1
29OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.58,4.4,MQ,1
30OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,4.4,MQ,1
31OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,0.25,3.0,MQ,1
32OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.5,3.0,MQ,1
33OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,1.0,MQ,1
34OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,4.4,MQ,1
35OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
36OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
37OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
38OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
39OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1
40OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,1.7,MQ,1
41OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,1.7,MQ,1
42OD,HSPC,Micromixer,15.96,0.0,9.58,3.19,3.19,2.17,1.7,MQ,1
01OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.58,1.6,MQ,1
02OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.17,1.6,MQ,1
03OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.58,4.4,MQ,1
04OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.17,4.4,MQ,1
05OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.25,3.0,MQ,1
06OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.5,3.0,MQ,1
07OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,1.0,MQ,1
08OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,5.0,MQ,1
09OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
10OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
11OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
12OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
13OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
14OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.58,1.6,MQ,1
15OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.17,1.6,MQ,1
16OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.58,4.4,MQ,1
17OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.17,4.4,MQ,1
18OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.25,3.0,MQ,1
19OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.5,3.0,MQ,1
20OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,1.0,MQ,1
21OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,5.0,MQ,1
22OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
23OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
24OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
25OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
26OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
27OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.58,1.6,MQ,1
28OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.17,1.6,MQ,1
29OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.58,4.4,MQ,1
30OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.17,4.4,MQ,1
31OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,0.25,3.0,MQ,1
32OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.5,3.0,MQ,1
33OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,1.0,MQ,1
34OM ,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,5.0,MQ,1
35OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
36OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
37OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
38OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
39OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1
40OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.5,5.0,MQ,1
41OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.5,5.0,MQ,1
42OM,ESM,Micromixer,34.9,24.78,0.0,10.12,0.0,2.5,5.0,MQ,1
