ML,CHIP,ESM,HSPC,CHOL,PEG,TFR ,FRR,BUFFER,OUTPUT,SIZE,PDI
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,156.0,0.297
HSPC,Micromixer,0.0,9.58,3.19,3.19,1.375,3.0,MQ,1,75.0,0.214
HSPC,Micromixer,0.0,9.58,3.19,3.19,2.17,1.7,MQ,1,91.0,0.2
HSPC,Micromixer,0.0,9.58,3.19,3.19,2.17,1.7,MQ,1,96.0,0.2
HSPC,Micromixer,0.0,9.58,3.19,3.19,2.17,1.7,MQ,1,83.0,0.203
ESM,Micromixer,24.78,0.0,10.12,0.0,0.58,1.6,MQ,1,230.0,0.349
ESM,Micromixer,24.78,0.0,10.12,0.0,2.17,1.6,MQ,1,298.0,0.263
ESM,Micromixer,24.78,0.0,10.12,0.0,0.58,4.4,MQ,1,158.0,0.088
ESM,Micromixer,24.78,0.0,10.12,0.0,2.17,4.4,MQ,1,125.0,0.065
ESM,Micromixer,24.78,0.0,10.12,0.0,0.25,3.0,MQ,1,184.0,0.16
ESM,Micromixer,24.78,0.0,10.12,0.0,2.5,3.0,MQ,1,155.0,0.054
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,1.0,MQ,1,232.0,0.322
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,5.0,MQ,1,126.0,0.058
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,170.0,0.119
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,164.0,0.091
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,162.0,0.121
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,160.0,0.095
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,159.0,0.087
ESM,Micromixer,24.78,0.0,10.12,0.0,0.58,1.6,MQ,1,190.0,0.195
ESM,Micromixer,24.78,0.0,10.12,0.0,2.17,1.6,MQ,1,229.0,0.244
ESM,Micromixer,24.78,0.0,10.12,0.0,0.58,4.4,MQ,1,140.0,0.047
ESM,Micromixer,24.78,0.0,10.12,0.0,2.17,4.4,MQ,1,117.0,0.046
ESM,Micromixer,24.78,0.0,10.12,0.0,0.25,3.0,MQ,1,167.0,0.071
ESM,Micromixer,24.78,0.0,10.12,0.0,2.5,3.0,MQ,1,138.0,0.05
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,1.0,MQ,1,241.0,0.252
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,5.0,MQ,1,116.0,0.07
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,140.0,0.08
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,142.0,0.064
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,140.0,0.062
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,140.0,0.065
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,147.0,0.081
ESM,Micromixer,24.78,0.0,10.12,0.0,0.58,1.6,MQ,1,221.0,0.271
ESM,Micromixer,24.78,0.0,10.12,0.0,2.17,1.6,MQ,1,304.0,0.274
ESM,Micromixer,24.78,0.0,10.12,0.0,0.58,4.4,MQ,1,160.0,0.071
ESM,Micromixer,24.78,0.0,10.12,0.0,2.17,4.4,MQ,1,126.0,0.027
ESM,Micromixer,24.78,0.0,10.12,0.0,0.25,3.0,MQ,1,191.0,0.132
ESM,Micromixer,24.78,0.0,10.12,0.0,2.5,3.0,MQ,1,158.0,0.059
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,1.0,MQ,1,236.0,0.26
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,5.0,MQ,1,131.0,0.044
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,161.0,0.082
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,159.0,0.085
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,161.0,0.061
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,172.0,0.111
ESM,Micromixer,24.78,0.0,10.12,0.0,1.375,3.0,MQ,1,161.0,0.103
ESM,Micromixer,24.78,0.0,10.12,0.0,2.5,5.0,MQ,1,115.0,0.056
ESM,Micromixer,24.78,0.0,10.12,0.0,2.5,5.0,MQ,1,109.0,0.05
ESM,Micromixer,24.78,0.0,10.12,0.0,2.5,5.0,MQ,1,107.0,0.055
